"class","user","day","time_of_day","client","true_time","user_estimate"
"long","Evelyn","Monday","Afternoon","Mooby's Family Restaurants",117,65
"short","Jim","Tuesday","Lunchtime","Cyberdyne Systems",5,4
"short","Tom","Friday","Lunchtime","OCP Inc.",8,7
"short","Evelyn","Wednesday","Lunchtime","Cyberdyne Systems",8,12
"short","Tom","Wednesday","Morning","Cyberdyne Systems",8,10
"short","Tom","Friday","Lunchtime","Weyland-Yutani",6,1
"short","Tom","Monday","Morning","Mooby's Family Restaurants",11,15
"long","Tom","Friday","Afternoon","OCP Inc.",67,121
"short","Jim","Tuesday","Lunchtime","Cyberdyne Systems",11,11
"short","Evelyn","Monday","Morning","Cyberdyne Systems",5,10
"long","Tom","Wednesday","Morning","Weyland-Yutani",92,97
"short","Yvette","Thursday","Lunchtime","Mooby's Family Restaurants",6,4
"short","Tom","Wednesday","Lunchtime","Weyland-Yutani",8,3
"short","Yvette","Wednesday","Afternoon","OCP Inc.",6,3
"short","Evelyn","Thursday","Lunchtime","Cyberdyne Systems",6,9
"long","Tom","Monday","Lunchtime","Cyberdyne Systems",117,83
"short","Cindy","Thursday","Morning","Mooby's Family Restaurants",9,5
"short","Yvette","Friday","Lunchtime","Mooby's Family Restaurants",14,19
"short","Tom","Tuesday","Morning","Tyrell",3,14
"long","Jim","Wednesday","Afternoon","OCP Inc.",99,87
"long","Tom","Friday","Afternoon","Cyberdyne Systems",126,115
"short","Evelyn","Tuesday","Morning","Cyberdyne Systems",3,9
"short","Tom","Friday","Lunchtime","Tyrell",5,8
"short","Yvette","Wednesday","Lunchtime","Weyland-Yutani",13,4
"short","Yvette","Thursday","Lunchtime","OCP Inc.",12,14
"short","Evelyn","Tuesday","Afternoon","Mooby's Family Restaurants",8,8
"short","Cindy","Wednesday","Morning","Weyland-Yutani",9,120
"short","Jim","Tuesday","Lunchtime","Weyland-Yutani",4,8
"long","Cindy","Tuesday","Lunchtime","Weyland-Yutani",89,119
"short","Jim","Monday","Morning","Tyrell",7,8
"short","Tom","Friday","Afternoon","Mooby's Family Restaurants",9,10
"short","Evelyn","Wednesday","Lunchtime","Cyberdyne Systems",9,12
"short","Yvette","Wednesday","Morning","Tyrell",5,6
"short","Evelyn","Monday","Lunchtime","Tyrell",8,6
"short","Tom","Friday","Afternoon","Mooby's Family Restaurants",4,12
"short","Jim","Wednesday","Afternoon","OCP Inc.",2,16
"short","Cindy","Tuesday","Afternoon","OCP Inc.",11,3
"short","Tom","Tuesday","Lunchtime","Weyland-Yutani",11,12
"long","Jim","Wednesday","Lunchtime","Mooby's Family Restaurants",109,109
"long","Evelyn","Friday","Lunchtime","OCP Inc.",99,112
"short","Evelyn","Monday","Afternoon","Weyland-Yutani",8,7
"short","Yvette","Thursday","Afternoon","Cyberdyne Systems",10,4
"short","Tom","Friday","Afternoon","Cyberdyne Systems",2,7
"short","Yvette","Tuesday","Lunchtime","OCP Inc.",5,16
"short","Yvette","Tuesday","Afternoon","Tyrell",7,15
"long","Tom","Thursday","Morning","Cyberdyne Systems",89,102
"short","Evelyn","Monday","Lunchtime","Mooby's Family Restaurants",8,7
"short","Jim","Thursday","Lunchtime","Tyrell",8,13
"short","Cindy","Thursday","Afternoon","Cyberdyne Systems",8,10
"short","Yvette","Tuesday","Lunchtime","Weyland-Yutani",5,8
"short","Jim","Monday","Afternoon","Tyrell",15,10
"long","Evelyn","Thursday","Morning","Mooby's Family Restaurants",98,71
"long","Jim","Thursday","Morning","OCP Inc.",91,129
"short","Cindy","Tuesday","Afternoon","OCP Inc.",4,7
"short","Jim","Friday","Afternoon","Weyland-Yutani",11,1
"short","Yvette","Monday","Lunchtime","Weyland-Yutani",12,10
"short","Jim","Tuesday","Afternoon","Weyland-Yutani",10,7
"short","Yvette","Monday","Afternoon","Mooby's Family Restaurants",5,8
"long","Cindy","Tuesday","Afternoon","OCP Inc.",94,79
"short","Evelyn","Wednesday","Lunchtime","Tyrell",9,6
"short","Jim","Monday","Lunchtime","Tyrell",8,11
"short","Yvette","Thursday","Afternoon","OCP Inc.",7,5
"long","Tom","Monday","Lunchtime","OCP Inc.",120,76
"short","Jim","Wednesday","Morning","Mooby's Family Restaurants",4,8
"short","Jim","Thursday","Morning","Cyberdyne Systems",8,11
"short","Cindy","Friday","Morning","Mooby's Family Restaurants",8,13
"long","Evelyn","Monday","Afternoon","Tyrell",79,75
"short","Tom","Monday","Lunchtime","Cyberdyne Systems",16,5
"short","Yvette","Monday","Morning","Weyland-Yutani",9,6
"short","Tom","Thursday","Lunchtime","Weyland-Yutani",7,4
"long","Yvette","Thursday","Lunchtime","Weyland-Yutani",104,91
"short","Evelyn","Friday","Afternoon","Weyland-Yutani",4,18
"short","Tom","Monday","Afternoon","Weyland-Yutani",1,8
"short","Tom","Monday","Lunchtime","Cyberdyne Systems",2,2
"short","Tom","Monday","Afternoon","OCP Inc.",15,8
"short","Jim","Friday","Morning","Cyberdyne Systems",8,11
"short","Cindy","Wednesday","Lunchtime","Tyrell",5,6
"long","Yvette","Monday","Morning","OCP Inc.",87,102
"short","Evelyn","Friday","Afternoon","Weyland-Yutani",12,7
"short","Yvette","Friday","Morning","Tyrell",4,9
"short","Yvette","Thursday","Afternoon","Mooby's Family Restaurants",8,9
"short","Yvette","Friday","Afternoon","Tyrell",4,8
"short","Tom","Wednesday","Afternoon","OCP Inc.",3,8
"short","Jim","Friday","Lunchtime","Weyland-Yutani",9,12
"short","Evelyn","Friday","Morning","Cyberdyne Systems",11,5
"short","Cindy","Thursday","Morning","Weyland-Yutani",11,13
"short","Evelyn","Friday","Lunchtime","Weyland-Yutani",9,18
"short","Tom","Friday","Morning","Cyberdyne Systems",9,12
"short","Jim","Wednesday","Lunchtime","Cyberdyne Systems",2,12
"short","Evelyn","Tuesday","Lunchtime","Cyberdyne Systems",9,9
"short","Tom","Wednesday","Lunchtime","Weyland-Yutani",3,14
"short","Tom","Friday","Lunchtime","Tyrell",11,12
"short","Jim","Thursday","Afternoon","Mooby's Family Restaurants",10,1
"short","Tom","Friday","Morning","Cyberdyne Systems",7,10
"long","Evelyn","Monday","Afternoon","Mooby's Family Restaurants",51,102
"short","Cindy","Thursday","Afternoon","Cyberdyne Systems",14,10
"short","Cindy","Thursday","Morning","Cyberdyne Systems",4,5
"short","Cindy","Friday","Morning","Mooby's Family Restaurants",1,1
"short","Cindy","Wednesday","Lunchtime","OCP Inc.",3,8
"short","Cindy","Tuesday","Afternoon","Mooby's Family Restaurants",9,3
"long","Yvette","Tuesday","Lunchtime","Weyland-Yutani",113,106
"short","Evelyn","Monday","Morning","Weyland-Yutani",8,1
"short","Yvette","Wednesday","Morning","Weyland-Yutani",7,7
"short","Evelyn","Wednesday","Lunchtime","Cyberdyne Systems",9,8
"short","Evelyn","Wednesday","Morning","OCP Inc.",10,8
"short","Evelyn","Friday","Lunchtime","Weyland-Yutani",6,5
"short","Tom","Friday","Afternoon","Tyrell",13,7
"short","Evelyn","Tuesday","Lunchtime","Mooby's Family Restaurants",1,8
"long","Yvette","Wednesday","Lunchtime","OCP Inc.",108,126
"long","Evelyn","Tuesday","Afternoon","Cyberdyne Systems",111,104
"long","Cindy","Friday","Afternoon","OCP Inc.",94,95
"short","Yvette","Thursday","Morning","Weyland-Yutani",3,5
"short","Tom","Tuesday","Morning","Cyberdyne Systems",16,6
"short","Jim","Thursday","Afternoon","Tyrell",14,13
"short","Cindy","Friday","Lunchtime","OCP Inc.",7,3
"short","Tom","Wednesday","Lunchtime","Cyberdyne Systems",6,6
"short","Evelyn","Friday","Lunchtime","Cyberdyne Systems",11,14
"short","Cindy","Friday","Morning","OCP Inc.",9,5
"long","Evelyn","Wednesday","Afternoon","Mooby's Family Restaurants",102,80
"short","Evelyn","Wednesday","Afternoon","Tyrell",3,1
"long","Tom","Monday","Morning","Mooby's Family Restaurants",92,94
"long","Jim","Tuesday","Morning","Mooby's Family Restaurants",93,74
"long","Jim","Friday","Morning","OCP Inc.",97,109
"long","Cindy","Wednesday","Afternoon","Weyland-Yutani",111,119
"short","Yvette","Thursday","Afternoon","OCP Inc.",12,7
"short","Jim","Monday","Lunchtime","Weyland-Yutani",11,15
"short","Evelyn","Wednesday","Lunchtime","OCP Inc.",3,4
"short","Evelyn","Thursday","Lunchtime","Mooby's Family Restaurants",6,1
"short","Evelyn","Tuesday","Lunchtime","Weyland-Yutani",1,8
"short","Jim","Tuesday","Afternoon","Cyberdyne Systems",13,9
"short","Jim","Monday","Lunchtime","OCP Inc.",15,12
"long","Jim","Wednesday","Morning","OCP Inc.",87,87
"short","Jim","Wednesday","Afternoon","OCP Inc.",8,95
"short","Tom","Wednesday","Lunchtime","Mooby's Family Restaurants",8,15
"short","Jim","Friday","Lunchtime","Tyrell",5,8
"short","Cindy","Monday","Morning","Mooby's Family Restaurants",7,86
"short","Cindy","Wednesday","Morning","Weyland-Yutani",5,11
"long","Cindy","Tuesday","Lunchtime","Weyland-Yutani",72,81
"long","Tom","Wednesday","Lunchtime","Mooby's Family Restaurants",109,6
"short","Yvette","Monday","Morning","OCP Inc.",1,81
"short","Cindy","Thursday","Afternoon","Weyland-Yutani",1,10
"short","Evelyn","Thursday","Afternoon","Weyland-Yutani",4,16
"short","Cindy","Wednesday","Afternoon","OCP Inc.",9,6
"short","Yvette","Friday","Afternoon","Tyrell",13,4
"short","Evelyn","Monday","Lunchtime","OCP Inc.",10,2
"short","Cindy","Thursday","Morning","Weyland-Yutani",6,5
"long","Tom","Tuesday","Afternoon","OCP Inc.",109,61
"short","Evelyn","Friday","Morning","Cyberdyne Systems",1,13
"short","Tom","Wednesday","Afternoon","Weyland-Yutani",3,5
"short","Tom","Friday","Afternoon","Weyland-Yutani",11,88
"short","Jim","Tuesday","Morning","Tyrell",10,4
"short","Evelyn","Wednesday","Lunchtime","Weyland-Yutani",7,2
"short","Evelyn","Wednesday","Afternoon","Cyberdyne Systems",8,8
"long","Tom","Monday","Lunchtime","Tyrell",118,105
"short","Jim","Thursday","Afternoon","Cyberdyne Systems",9,11
"long","Evelyn","Wednesday","Afternoon","Mooby's Family Restaurants",91,116
"short","Cindy","Wednesday","Morning","Cyberdyne Systems",11,3
"short","Yvette","Monday","Lunchtime","Weyland-Yutani",1,104
"short","Evelyn","Friday","Afternoon","Tyrell",11,13
"long","Jim","Monday","Morning","Tyrell",75,92
"short","Jim","Tuesday","Morning","Weyland-Yutani",14,4
"short","Tom","Thursday","Lunchtime","Weyland-Yutani",5,8
"short","Cindy","Monday","Morning","Tyrell",8,94
"short","Cindy","Wednesday","Afternoon","Cyberdyne Systems",3,10
"short","Jim","Thursday","Morning","Cyberdyne Systems",2,11
"short","Cindy","Wednesday","Morning","Weyland-Yutani",11,12
"short","Yvette","Thursday","Afternoon","Mooby's Family Restaurants",6,12
"long","Evelyn","Thursday","Morning","Tyrell",73,81
"short","Jim","Monday","Lunchtime","Tyrell",5,11
"long","Evelyn","Friday","Afternoon","Cyberdyne Systems",108,107
"short","Cindy","Wednesday","Lunchtime","Cyberdyne Systems",9,9
"short","Cindy","Monday","Afternoon","OCP Inc.",10,3
"short","Evelyn","Thursday","Morning","OCP Inc.",10,110
"short","Yvette","Monday","Lunchtime","Mooby's Family Restaurants",6,13
"short","Evelyn","Friday","Lunchtime","Mooby's Family Restaurants",11,5
"short","Evelyn","Monday","Afternoon","Mooby's Family Restaurants",6,102
"short","Tom","Wednesday","Lunchtime","Mooby's Family Restaurants",4,2
"long","Cindy","Monday","Lunchtime","OCP Inc.",70,86
"short","Cindy","Wednesday","Morning","Weyland-Yutani",8,1
"short","Cindy","Tuesday","Morning","Mooby's Family Restaurants",12,3
"short","Tom","Wednesday","Lunchtime","OCP Inc.",3,9
"short","Cindy","Tuesday","Morning","Weyland-Yutani",12,8
"short","Yvette","Wednesday","Afternoon","Mooby's Family Restaurants",1,8
"short","Tom","Thursday","Morning","Mooby's Family Restaurants",5,5
"short","Tom","Tuesday","Lunchtime","OCP Inc.",9,6
"short","Yvette","Monday","Afternoon","Tyrell",11,9
"short","Jim","Monday","Afternoon","OCP Inc.",12,107
"short","Tom","Tuesday","Morning","Weyland-Yutani",9,13
"short","Jim","Thursday","Morning","Cyberdyne Systems",10,5
"short","Cindy","Wednesday","Lunchtime","Mooby's Family Restaurants",9,3
"short","Evelyn","Tuesday","Lunchtime","Mooby's Family Restaurants",10,6
"long","Evelyn","Thursday","Afternoon","Cyberdyne Systems",80,108
"short","Evelyn","Thursday","Lunchtime","Tyrell",1,6
"short","Jim","Monday","Lunchtime","Weyland-Yutani",10,2
"short","Tom","Thursday","Afternoon","OCP Inc.",7,4
"short","Evelyn","Friday","Morning","Mooby's Family Restaurants",10,11
"short","Evelyn","Friday","Afternoon","Tyrell",4,7
"short","Tom","Thursday","Lunchtime","Weyland-Yutani",10,2
"short","Evelyn","Tuesday","Afternoon","Weyland-Yutani",7,6
"short","Yvette","Tuesday","Morning","Cyberdyne Systems",3,5
"long","Evelyn","Tuesday","Morning","OCP Inc.",100,88
"short","Cindy","Wednesday","Afternoon","Mooby's Family Restaurants",5,6
"short","Yvette","Tuesday","Lunchtime","OCP Inc.",12,8
"short","Jim","Wednesday","Morning","Tyrell",14,7
"short","Tom","Monday","Morning","OCP Inc.",5,2
"short","Cindy","Friday","Lunchtime","Tyrell",15,7
"short","Tom","Monday","Afternoon","Cyberdyne Systems",14,16
"long","Cindy","Thursday","Morning","Weyland-Yutani",118,92
"short","Evelyn","Wednesday","Lunchtime","Tyrell",3,9
"short","Yvette","Monday","Lunchtime","OCP Inc.",6,10
"short","Evelyn","Tuesday","Afternoon","Cyberdyne Systems",5,3
"long","Tom","Wednesday","Lunchtime","Weyland-Yutani",90,84
"long","Tom","Thursday","Morning","Tyrell",93,98
"short","Jim","Tuesday","Morning","Mooby's Family Restaurants",8,9
"short","Evelyn","Friday","Lunchtime","Weyland-Yutani",8,9
"long","Tom","Monday","Morning","Cyberdyne Systems",94,78
"short","Tom","Monday","Lunchtime","Weyland-Yutani",6,4
"short","Yvette","Tuesday","Lunchtime","Weyland-Yutani",7,10
"short","Evelyn","Thursday","Morning","OCP Inc.",2,4
"short","Tom","Thursday","Lunchtime","OCP Inc.",6,7
"short","Cindy","Tuesday","Morning","Cyberdyne Systems",5,6
"short","Evelyn","Thursday","Lunchtime","Cyberdyne Systems",7,11
"long","Tom","Thursday","Morning","Cyberdyne Systems",92,11
"short","Jim","Thursday","Afternoon","Tyrell",12,7
"short","Evelyn","Thursday","Morning","Tyrell",13,12
"short","Evelyn","Monday","Afternoon","OCP Inc.",8,13
"short","Cindy","Friday","Morning","Cyberdyne Systems",6,8
"long","Cindy","Monday","Afternoon","Mooby's Family Restaurants",92,97
"short","Jim","Thursday","Afternoon","Weyland-Yutani",8,4
"long","Tom","Thursday","Morning","OCP Inc.",99,85
"short","Tom","Friday","Morning","Tyrell",8,11
"short","Cindy","Tuesday","Afternoon","Mooby's Family Restaurants",11,15
"long","Tom","Thursday","Afternoon","OCP Inc.",112,104
"long","Tom","Tuesday","Morning","OCP Inc.",97,90
"short","Tom","Thursday","Afternoon","Tyrell",8,15
"short","Jim","Friday","Afternoon","Cyberdyne Systems",5,9
"short","Evelyn","Friday","Morning","Mooby's Family Restaurants",8,17
"short","Tom","Thursday","Morning","Cyberdyne Systems",6,10
"short","Tom","Wednesday","Lunchtime","Mooby's Family Restaurants",9,5
"short","Evelyn","Monday","Afternoon","Tyrell",8,4
"short","Cindy","Monday","Afternoon","Mooby's Family Restaurants",7,6
"short","Jim","Monday","Afternoon","Weyland-Yutani",3,5
"long","Yvette","Friday","Afternoon","OCP Inc.",92,125
"short","Tom","Wednesday","Afternoon","Weyland-Yutani",4,7
"short","Evelyn","Wednesday","Morning","Weyland-Yutani",7,2
"short","Tom","Tuesday","Lunchtime","Cyberdyne Systems",2,1
"short","Cindy","Monday","Morning","Tyrell",2,8
"long","Jim","Monday","Morning","Tyrell",121,91
"short","Evelyn","Wednesday","Morning","Cyberdyne Systems",11,7
"long","Yvette","Monday","Lunchtime","Cyberdyne Systems",87,1
"long","Tom","Friday","Lunchtime","OCP Inc.",94,81
"short","Cindy","Monday","Lunchtime","Weyland-Yutani",17,13
"short","Jim","Monday","Morning","Weyland-Yutani",9,1
"short","Evelyn","Wednesday","Afternoon","Tyrell",10,9
"short","Cindy","Wednesday","Lunchtime","Weyland-Yutani",13,12
"short","Cindy","Thursday","Morning","Cyberdyne Systems",4,8
"short","Yvette","Thursday","Morning","Weyland-Yutani",2,7
"short","Tom","Wednesday","Lunchtime","Mooby's Family Restaurants",3,6
"short","Cindy","Monday","Lunchtime","Cyberdyne Systems",8,9
"long","Tom","Monday","Lunchtime","Mooby's Family Restaurants",90,102
"long","Cindy","Monday","Afternoon","Mooby's Family Restaurants",94,73
"short","Jim","Wednesday","Afternoon","Cyberdyne Systems",9,4
"short","Evelyn","Wednesday","Afternoon","Mooby's Family Restaurants",14,13
"short","Evelyn","Tuesday","Morning","Cyberdyne Systems",5,9
"short","Tom","Friday","Afternoon","Mooby's Family Restaurants",4,94
"short","Evelyn","Friday","Lunchtime","Cyberdyne Systems",12,86
"short","Tom","Wednesday","Lunchtime","Cyberdyne Systems",9,5
"short","Cindy","Friday","Afternoon","Cyberdyne Systems",9,11
"short","Cindy","Tuesday","Morning","Mooby's Family Restaurants",9,9
"short","Yvette","Wednesday","Afternoon","Weyland-Yutani",18,8
"short","Tom","Friday","Afternoon","Mooby's Family Restaurants",12,81
"short","Jim","Tuesday","Lunchtime","Weyland-Yutani",3,13
"short","Cindy","Monday","Afternoon","Tyrell",11,14
"short","Cindy","Friday","Morning","OCP Inc.",14,7
"short","Cindy","Wednesday","Afternoon","Weyland-Yutani",6,13
"short","Cindy","Thursday","Morning","Tyrell",6,14
"long","Yvette","Thursday","Afternoon","Mooby's Family Restaurants",103,74
"short","Evelyn","Wednesday","Morning","Weyland-Yutani",9,2
"short","Evelyn","Monday","Morning","OCP Inc.",9,1
"short","Jim","Tuesday","Morning","Mooby's Family Restaurants",18,10
"short","Tom","Wednesday","Morning","Weyland-Yutani",1,9
"short","Tom","Wednesday","Afternoon","Mooby's Family Restaurants",8,1
"short","Jim","Friday","Morning","Mooby's Family Restaurants",9,9
"short","Jim","Tuesday","Afternoon","Tyrell",10,8
"short","Yvette","Tuesday","Morning","Weyland-Yutani",3,3
"short","Evelyn","Tuesday","Morning","Weyland-Yutani",8,8
"short","Yvette","Monday","Afternoon","Tyrell",7,83
"short","Yvette","Wednesday","Lunchtime","Mooby's Family Restaurants",16,7
"short","Cindy","Tuesday","Afternoon","Weyland-Yutani",1,80
"short","Tom","Monday","Morning","Mooby's Family Restaurants",7,8
"short","Cindy","Friday","Lunchtime","Weyland-Yutani",13,1
"short","Cindy","Monday","Morning","Weyland-Yutani",1,1
"short","Jim","Friday","Morning","Weyland-Yutani",12,8
"long","Jim","Tuesday","Morning","Tyrell",81,102
"short","Tom","Monday","Lunchtime","OCP Inc.",12,1
"short","Evelyn","Monday","Lunchtime","Tyrell",12,4
"short","Yvette","Friday","Afternoon","Tyrell",6,6
"short","Yvette","Tuesday","Lunchtime","Mooby's Family Restaurants",6,11
"short","Evelyn","Friday","Lunchtime","Mooby's Family Restaurants",7,9
"short","Tom","Monday","Lunchtime","Tyrell",3,6
"long","Evelyn","Tuesday","Morning","OCP Inc.",82,103
"short","Cindy","Monday","Afternoon","Tyrell",5,3
"long","Cindy","Thursday","Afternoon","Tyrell",124,117
"short","Jim","Thursday","Lunchtime","Cyberdyne Systems",6,11
"short","Evelyn","Friday","Afternoon","Weyland-Yutani",11,11
"short","Yvette","Monday","Afternoon","Mooby's Family Restaurants",5,16
"short","Tom","Monday","Afternoon","Cyberdyne Systems",1,3
"short","Cindy","Thursday","Afternoon","OCP Inc.",5,12
"long","Jim","Monday","Afternoon","Weyland-Yutani",90,88
"short","Tom","Friday","Morning","Cyberdyne Systems",9,10
"short","Tom","Thursday","Lunchtime","Cyberdyne Systems",12,101
"short","Evelyn","Tuesday","Lunchtime","Mooby's Family Restaurants",5,12
"long","Jim","Wednesday","Afternoon","Cyberdyne Systems",41,109
"short","Jim","Thursday","Lunchtime","Cyberdyne Systems",9,4
"short","Jim","Friday","Afternoon","Tyrell",9,5
"short","Yvette","Monday","Lunchtime","Mooby's Family Restaurants",11,14
"long","Tom","Monday","Lunchtime","Tyrell",109,71
"long","Jim","Tuesday","Lunchtime","OCP Inc.",108,81
"short","Jim","Tuesday","Afternoon","Tyrell",7,6
"short","Jim","Tuesday","Afternoon","Cyberdyne Systems",4,11
"short","Yvette","Friday","Morning","Cyberdyne Systems",8,14
"short","Cindy","Friday","Afternoon","OCP Inc.",7,9
"short","Jim","Thursday","Morning","Mooby's Family Restaurants",13,4
"long","Evelyn","Thursday","Afternoon","Cyberdyne Systems",57,81
"long","Yvette","Tuesday","Lunchtime","Cyberdyne Systems",96,110
"short","Yvette","Thursday","Afternoon","Mooby's Family Restaurants",9,14
"long","Jim","Thursday","Lunchtime","OCP Inc.",83,131
"short","Yvette","Tuesday","Morning","OCP Inc.",9,8
"short","Cindy","Friday","Afternoon","OCP Inc.",11,11
"short","Yvette","Friday","Morning","Mooby's Family Restaurants",5,8
"short","Jim","Wednesday","Morning","Tyrell",1,11
"short","Jim","Tuesday","Afternoon","Cyberdyne Systems",10,6
"short","Yvette","Thursday","Afternoon","Weyland-Yutani",4,115
"long","Cindy","Tuesday","Morning","Cyberdyne Systems",122,87
"long","Jim","Wednesday","Morning","Cyberdyne Systems",143,7
"short","Evelyn","Tuesday","Lunchtime","Cyberdyne Systems",10,9
"short","Yvette","Friday","Afternoon","Tyrell",4,4
"short","Yvette","Thursday","Afternoon","OCP Inc.",13,8
"short","Evelyn","Tuesday","Afternoon","Tyrell",7,96
"short","Cindy","Thursday","Afternoon","Mooby's Family Restaurants",4,17
"short","Yvette","Monday","Morning","OCP Inc.",9,3
"short","Yvette","Tuesday","Morning","Tyrell",4,11
"short","Cindy","Tuesday","Morning","Weyland-Yutani",1,9
"short","Jim","Wednesday","Lunchtime","Mooby's Family Restaurants",7,12
"short","Cindy","Thursday","Morning","Weyland-Yutani",7,78
"short","Cindy","Thursday","Afternoon","Mooby's Family Restaurants",7,12
"long","Cindy","Monday","Lunchtime","Mooby's Family Restaurants",82,93
"short","Cindy","Wednesday","Morning","Weyland-Yutani",9,9
"short","Cindy","Thursday","Lunchtime","Weyland-Yutani",8,8
"short","Cindy","Thursday","Lunchtime","Weyland-Yutani",6,9
"long","Evelyn","Wednesday","Lunchtime","Cyberdyne Systems",101,91
"short","Cindy","Tuesday","Morning","Mooby's Family Restaurants",5,6
"short","Yvette","Wednesday","Morning","Tyrell",9,13
"long","Evelyn","Tuesday","Morning","Weyland-Yutani",108,91
"short","Jim","Thursday","Morning","Cyberdyne Systems",8,4
"short","Tom","Thursday","Afternoon","OCP Inc.",11,4
"short","Evelyn","Friday","Morning","Tyrell",9,6
"long","Cindy","Thursday","Afternoon","Weyland-Yutani",104,105
"long","Yvette","Friday","Morning","OCP Inc.",94,113
"short","Tom","Tuesday","Morning","OCP Inc.",1,9
"long","Evelyn","Thursday","Morning","Tyrell",74,87
"short","Cindy","Monday","Morning","Weyland-Yutani",6,5
"long","Cindy","Wednesday","Morning","Cyberdyne Systems",107,100
"short","Cindy","Tuesday","Morning","Cyberdyne Systems",3,6
"short","Yvette","Tuesday","Afternoon","Mooby's Family Restaurants",9,8
"short","Evelyn","Monday","Morning","Tyrell",8,4
"short","Yvette","Thursday","Afternoon","Tyrell",10,6
"short","Cindy","Friday","Lunchtime","Weyland-Yutani",14,5
"short","Yvette","Tuesday","Morning","Tyrell",12,14
"short","Evelyn","Wednesday","Afternoon","OCP Inc.",1,5
"short","Yvette","Thursday","Morning","Mooby's Family Restaurants",13,8
"short","Tom","Friday","Afternoon","Mooby's Family Restaurants",5,8
"long","Cindy","Monday","Afternoon","Weyland-Yutani",102,76
"short","Yvette","Monday","Lunchtime","Tyrell",9,1
"short","Cindy","Friday","Lunchtime","OCP Inc.",13,2
"short","Cindy","Thursday","Afternoon","Mooby's Family Restaurants",9,106
"short","Cindy","Thursday","Lunchtime","Mooby's Family Restaurants",9,6
"short","Evelyn","Wednesday","Lunchtime","Tyrell",8,9
"short","Tom","Friday","Morning","Tyrell",14,10
"short","Evelyn","Thursday","Morning","OCP Inc.",9,2
"short","Tom","Thursday","Morning","Weyland-Yutani",4,8
"short","Evelyn","Friday","Lunchtime","Tyrell",10,5
"short","Cindy","Thursday","Afternoon","Tyrell",11,7
"long","Yvette","Friday","Morning","Tyrell",93,107
"short","Evelyn","Friday","Morning","OCP Inc.",1,11
"short","Jim","Wednesday","Afternoon","OCP Inc.",8,4
"short","Yvette","Friday","Afternoon","Cyberdyne Systems",12,7
"short","Yvette","Thursday","Afternoon","Mooby's Family Restaurants",16,8
"short","Jim","Thursday","Lunchtime","OCP Inc.",4,8
"short","Yvette","Friday","Afternoon","Tyrell",9,13
"short","Evelyn","Monday","Lunchtime","Weyland-Yutani",13,12
"long","Cindy","Monday","Morning","Mooby's Family Restaurants",84,123
"short","Tom","Friday","Morning","OCP Inc.",10,11
"short","Tom","Monday","Lunchtime","Cyberdyne Systems",7,7
"short","Yvette","Monday","Morning","Cyberdyne Systems",12,10
"short","Yvette","Wednesday","Lunchtime","Cyberdyne Systems",10,8
"long","Jim","Tuesday","Morning","Tyrell",78,95
"short","Yvette","Tuesday","Afternoon","Tyrell",5,7
"long","Cindy","Monday","Lunchtime","Cyberdyne Systems",104,123
"long","Cindy","Friday","Afternoon","Tyrell",112,92
"long","Evelyn","Tuesday","Morning","Tyrell",94,104
"short","Cindy","Thursday","Afternoon","Weyland-Yutani",15,7
"short","Evelyn","Friday","Lunchtime","Tyrell",6,109
"short","Evelyn","Friday","Lunchtime","Cyberdyne Systems",7,13
"short","Yvette","Thursday","Afternoon","OCP Inc.",13,6
"short","Tom","Thursday","Afternoon","Weyland-Yutani",9,8
"short","Tom","Monday","Morning","Tyrell",12,108
"short","Cindy","Tuesday","Morning","Weyland-Yutani",5,12
"short","Cindy","Wednesday","Lunchtime","OCP Inc.",1,10
"short","Cindy","Friday","Afternoon","Cyberdyne Systems",10,11
"long","Tom","Thursday","Lunchtime","Weyland-Yutani",89,4
"short","Yvette","Friday","Afternoon","Mooby's Family Restaurants",10,8
"short","Jim","Monday","Afternoon","Tyrell",11,2
"short","Cindy","Wednesday","Lunchtime","OCP Inc.",6,3
"long","Yvette","Monday","Lunchtime","Mooby's Family Restaurants",131,122
"short","Jim","Thursday","Afternoon","Tyrell",15,5
"short","Evelyn","Thursday","Morning","Tyrell",5,11
"short","Yvette","Monday","Lunchtime","Cyberdyne Systems",1,8
"short","Cindy","Tuesday","Lunchtime","Tyrell",8,3
"short","Yvette","Thursday","Lunchtime","Mooby's Family Restaurants",6,1
"short","Yvette","Monday","Morning","Cyberdyne Systems",13,6
"short","Jim","Friday","Afternoon","OCP Inc.",5,13
"short","Cindy","Thursday","Afternoon","Tyrell",6,8
"short","Tom","Tuesday","Afternoon","Mooby's Family Restaurants",6,17
"long","Cindy","Thursday","Afternoon","Weyland-Yutani",113,100
"short","Tom","Friday","Morning","Tyrell",11,9
"short","Evelyn","Wednesday","Afternoon","OCP Inc.",9,7
"long","Cindy","Monday","Morning","Cyberdyne Systems",82,93
"long","Cindy","Monday","Afternoon","Tyrell",100,48
"short","Yvette","Thursday","Morning","Cyberdyne Systems",2,9
"short","Cindy","Thursday","Lunchtime","OCP Inc.",16,11
"long","Evelyn","Wednesday","Afternoon","Mooby's Family Restaurants",91,8
"short","Jim","Tuesday","Lunchtime","Weyland-Yutani",8,6
"short","Evelyn","Thursday","Morning","Mooby's Family Restaurants",13,1
"short","Cindy","Thursday","Afternoon","Tyrell",10,10
